node	node_type
MeSH:cvd_Root	cvd_MeSH
MeSH:CM	cvd_MeSH
MeSH:ARR	cvd_MeSH
MeSH:CHD	cvd_MeSH
MeSH:VD	cvd_MeSH
MeSH:IHD	cvd_MeSH
MeSH:CCS	cvd_MeSH
MeSH:VOO	cvd_MeSH
MeSH:OHD	cvd_MeSH
PMID:24812305	PMID
PMID:11376626	PMID
PMID:28684396	PMID
PMID:19255799	PMID
PMID:31062756	PMID
PMID:17060028	PMID
PMID:34509349	PMID
PMID:19773168	PMID
PMID:29737871	PMID
PMID:26936863	PMID
PMID:10521296	PMID
PMID:14739408	PMID
PMID:15972811	PMID
PMID:17689470	PMID
PMID:12552558	PMID
PMID:16330044	PMID
PMID:12109867	PMID
PMID:9482909	PMID
PMID:19194174	PMID
PMID:8994432	PMID
PMID:9391120	PMID
PMID:16497176	PMID
PMID:8538707	PMID
PMID:23007142	PMID
PMID:29982290	PMID
PMID:15912436	PMID
PMID:20519171	PMID
PMID:32498772	PMID
PMID:17697359	PMID
PMID:25988613	PMID
PMID:24664781	PMID
PMID:26116866	PMID
PMID:21338613	PMID
PMID:23532597	PMID
PMID:26519026	PMID
PMID:35029283	PMID
PMID:15867176	PMID
PMID:26531129	PMID
PMID:24786150	PMID
PMID:26811343	PMID
PMID:18222959	PMID
PMID:28790199	PMID
PMID:11897558	PMID
PMID:26631580	PMID
PMID:12031700	PMID
PMID:30474396	PMID
PMID:25831209	PMID
PMID:29782963	PMID
PMID:18839473	PMID
PMID:16679263	PMID
PMID:23895622	PMID
PMID:33484979	PMID
PMID:25340340	PMID
PMID:11893563	PMID
PMID:12958030	PMID
PMID:21908789	PMID
PMID:22947590	PMID
PMID:11866927	PMID
PMID:34827701	PMID
PMID:24813996	PMID
PMID:18006437	PMID
PMID:28173848	PMID
PMID:32464326	PMID
PMID:21982655	PMID
PMID:9441825	PMID
PMID:21462319	PMID
PMID:26577429	PMID
PMID:24799609	PMID
PMID:24838101	PMID
PMID:22194151	PMID
PMID:11358190	PMID
PMID:14575305	PMID
PMID:18408142	PMID
PMID:12190952	PMID
PMID:23831727	PMID
PMID:25823011	PMID
PMID:30779710	PMID
PMID:25113039	PMID
PMID:12868498	PMID
PMID:21914371	PMID
PMID:24835217	PMID
PMID:11779348	PMID
PMID:25267579	PMID
PMID:12039854	PMID
PMID:15949473	PMID
PMID:19879824	PMID
PMID:23980179	PMID
PMID:12869372	PMID
PMID:35837358	PMID
PMID:32572934	PMID
PMID:1865568	PMID
PMID:29959233	PMID
PMID:28283071	PMID
PMID:22824267	PMID
PMID:29115503	PMID
PMID:22905796	PMID
PMID:31794771	PMID
PMID:22907615	PMID
PMID:29742489	PMID
PMID:16118855	PMID
PMID:19584897	PMID
PMID:17848522	PMID
PMID:24516168	PMID
PMID:14630686	PMID
PMID:35387863	PMID
PMID:32842488	PMID
PMID:22038495	PMID
PMID:26316108	PMID
PMID:29220696	PMID
PMID:18340997	PMID
PMID:19407085	PMID
PMID:23800236	PMID
PMID:35115086	PMID
PMID:25131918	PMID
PMID:34118562	PMID
PMID:25557463	PMID
PMID:11815426	PMID
PMID:21570848	PMID
PMID:33512777	PMID
PMID:21311896	PMID
PMID:19875729	PMID
PMID:20622333	PMID
PMID:20418694	PMID
PMID:28869340	PMID
PMID:22685114	PMID
PMID:9321810	PMID
PMID:22209498	PMID
PMID:34076244	PMID
PMID:25616416	PMID
PMID:10674846	PMID
PMID:26538326	PMID
PMID:8062332	PMID
PMID:23950999	PMID
PMID:10451244	PMID
PMID:19566849	PMID
PMID:23673109	PMID
PMID:20167932	PMID
PMID:22179538	PMID
PMID:16352489	PMID
PMID:28069251	PMID
PMID:29912990	PMID
PMID:21395667	PMID
PMID:27207959	PMID
PMID:10600849	PMID
PMID:20492678	PMID
PMID:18414480	PMID
PMID:29689564	PMID
PMID:17765621	PMID
PMID:27618302	PMID
PMID:19791468	PMID
PMID:17606840	PMID
PMID:16202218	PMID
PMID:11489766	PMID
PMID:24621869	PMID
PMID:18672201	PMID
PMID:33629480	PMID
PMID:35710396	PMID
PMID:29801751	PMID
PMID:27634429	PMID
PMID:30875388	PMID
PMID:8232953	PMID
PMID:16127512	PMID
PMID:20531218	PMID
PMID:12034148	PMID
PMID:24582814	PMID
PMID:22006606	PMID
PMID:9458880	PMID
PMID:27941157	PMID
PMID:10188333	PMID
PMID:34117183	PMID
PMID:11399253	PMID
PMID:11485970	PMID
PMID:7755293	PMID
PMID:23062666	PMID
PMID:31802847	PMID
PMID:23531790	PMID
PMID:10561281	PMID
PMID:28500760	PMID
PMID:28849602	PMID
PMID:24032714	PMID
PMID:24100222	PMID
PMID:7534662	PMID
PMID:8994410	PMID
PMID:22537485	PMID
PMID:23746209	PMID
PMID:19102858	PMID
PMID:30305575	PMID
PMID:25319313	PMID
PMID:27282376	PMID
PMID:22818124	PMID
PMID:20641121	PMID
PMID:31049579	PMID
PMID:18606313	PMID
PMID:21781160	PMID
PMID:31805416	PMID
PMID:31356535	PMID
PMID:21900185	PMID
PMID:12730811	PMID
PMID:10904833	PMID
PMID:31277053	PMID
PMID:30165375	PMID
PMID:17849172	PMID
PMID:20413731	PMID
PMID:22287581	PMID
PMID:35560696	PMID
PMID:27056420	PMID
PMID:11322861	PMID
PMID:18349139	PMID
PMID:27114189	PMID
PMID:20053523	PMID
PMID:27085217	PMID
PMID:27349185	PMID
PMID:16688997	PMID
PMID:28966019	PMID
PMID:35353647	PMID
PMID:21121985	PMID
PMID:20067123	PMID
PMID:11273716	PMID
PMID:17660386	PMID
PMID:29402414	PMID
PMID:29020337	PMID
PMID:9683584	PMID
PMID:18035747	PMID
PMID:23199322	PMID
PMID:17111932	PMID
PMID:21983875	PMID
PMID:28222421	PMID
PMID:16376442	PMID
PMID:9045700	PMID
PMID:20407095	PMID
PMID:30784910	PMID
PMID:20339817	PMID
PMID:18993028	PMID
PMID:20977849	PMID
PMID:22405774	PMID
PMID:33931577	PMID
PMID:17662399	PMID
PMID:17975126	PMID
